date;mesocosm_ID;fish;warming;compartment;class;order;taxa;N_l;C_mug_l;tmean15;date_c
15/06/2021;3;LB;W;zoo;NA;Copepoda;Cyclopoida;3.2;12.6631067848;29.4216320907618;84
15/06/2021;3;LB;W;zoo;NA;Copepoda;nauplii<Copepoda;192;97.683314632;29.4216320907618;84
15/06/2021;3;LB;W;zoo;NA;Rotifera;Rotifera;88;11.024361672;29.4216320907618;84
15/06/2021;4;LB;NW;zoo;NA;Copepoda;Cyclopoida;33.4;166.3269307148;25.7122530678398;84
15/06/2021;4;LB;NW;zoo;NA;Copepoda;nauplii<Copepoda;480;344.697582176;25.7122530678398;84
15/06/2021;4;LB;NW;zoo;NA;Rotifera;Rotifera;240;95.652651528;25.7122530678398;84
15/06/2021;5;NF;NW;zoo;NA;Copepoda;Cyclopoida;144.4;1195.1072596098;25.2206242185691;84
15/06/2021;5;NF;NW;zoo;NA;Copepoda;nauplii<Copepoda;688;634.585927824;25.2206242185691;84
15/06/2021;5;NF;NW;zoo;NA;Rotifera;Rotifera;112;37.091270816;25.2206242185691;84
15/06/2021;6;NF;W;zoo;NA;Copepoda;Cyclopoida;33.8;239.9631089346;28.5986330169021;84
15/06/2021;6;NF;W;zoo;NA;Copepoda;nauplii<Copepoda;304;206.566823976;28.5986330169021;84
15/06/2021;6;NF;W;zoo;NA;Rotifera;Rotifera;56;16.064096088;28.5986330169021;84
15/06/2021;7;NF;NW;zoo;NA;Copepoda;Calanoida;1.2;10.8759051334;25.451952303774;84
15/06/2021;7;NF;NW;zoo;NA;Copepoda;Cyclopoida;43.6;234.288580008;25.451952303774;84
15/06/2021;7;NF;NW;zoo;NA;Copepoda;nauplii<Copepoda;1896;1547.714376696;25.451952303774;84
15/06/2021;7;NF;NW;zoo;NA;Rotifera;Rotifera;160;64.145812128;25.451952303774;84
15/06/2021;8;NF;W;zoo;NA;Copepoda;Cyclopoida;20.8;75.33943991;28.4220013892105;84
15/06/2021;8;NF;W;zoo;NA;Copepoda;nauplii<Copepoda;88;74.662478448;28.4220013892105;84
15/06/2021;8;NF;W;zoo;NA;Rotifera;Rotifera;8;0.915332744;28.4220013892105;84
15/06/2021;9;LB;NW;zoo;NA;Copepoda;Cyclopoida;139.6;773.1023698682;24.9191120629775;84
15/06/2021;9;LB;NW;zoo;NA;Copepoda;nauplii<Copepoda;560;628.915093672;24.9191120629775;84
15/06/2021;9;LB;NW;zoo;NA;Rotifera;Rotifera;304;61.43466448;24.9191120629775;84
20/04/2021;1;SB;NW;zoo;NA;Copepoda;Calanoida;0;0;13.1737355869414;28
18/05/2021;1;SB;NW;zoo;NA;Copepoda;Calanoida;0;0;19.45779115536;56
15/06/2021;24;SB;W;zoo;NA;Rotifera;Rotifera;0;0;27.9096846492244;84
15/06/2021;1;SB;NW;zoo;NA;Copepoda;Calanoida;0;0;25.2011407733272;84
15/06/2021;10;SB;W;zoo;NA;Copepoda;Calanoida;0;0;28.4532949756888;84
15/06/2021;11;LB;W;zoo;NA;Copepoda;Calanoida;0;0;29.0681180828896;84
15/06/2021;12;SB;NW;zoo;NA;Copepoda;Calanoida;0;0;25.3473705419176;84
15/06/2021;13;LB;W;zoo;NA;Copepoda;Calanoida;0;0;28.7352489002084;84
15/06/2021;15;SB;W;zoo;NA;Copepoda;Calanoida;0;0;28.9425758277379;84
15/06/2021;16;NF;W;zoo;NA;Copepoda;Calanoida;0;0;28.8895123871267;84
15/06/2021;19;NF;W;zoo;NA;Copepoda;Calanoida;0;0;28.6730787219264;84
15/06/2021;2;SB;W;zoo;NA;Copepoda;Calanoida;0;0;28.6762241259551;84
15/06/2021;20;LB;NW;zoo;NA;Copepoda;Calanoida;0;0;25.2624292660338;84
15/06/2021;22;LB;W;zoo;NA;Copepoda;Calanoida;0;0;28.7223959249826;84
15/06/2021;23;SB;NW;zoo;NA;Copepoda;Calanoida;0;0;25.3154093540171;84
15/06/2021;24;SB;W;zoo;NA;Copepoda;Calanoida;0;0;27.9096846492244;84
15/06/2021;3;LB;W;zoo;NA;Copepoda;Calanoida;0;0;29.4216320907618;84
15/06/2021;4;LB;NW;zoo;NA;Copepoda;Calanoida;0;0;25.7122530678398;84
15/06/2021;5;NF;NW;zoo;NA;Copepoda;Calanoida;0;0;25.2206242185691;84
15/06/2021;6;NF;W;zoo;NA;Copepoda;Calanoida;0;0;28.5986330169021;84
15/06/2021;8;NF;W;zoo;NA;Copepoda;Calanoida;0;0;28.4220013892105;84
15/06/2021;9;LB;NW;zoo;NA;Copepoda;Calanoida;0;0;24.9191120629775;84
20/04/2021;1;SB;NW;phyto;bacillariophyceae;NA;achnanthes sp;24996.3636363636;0.424938181818182;13.1737355869414;28
20/04/2021;1;SB;NW;phyto;chlorophyceae;NA;chlorella sp;16366666.6666667;45.0083333333333;13.1737355869414;28
20/04/2021;1;SB;NW;phyto;chlorophyceae;NA;oocystis sp;549920;8.40234909090909;13.1737355869414;28
20/04/2021;1;SB;NW;phyto;chromophyceae;NA;brown algae;7141.81818181818;0.822223243636364;13.1737355869414;28
20/04/2021;1;SB;NW;phyto;chrysophyceae;NA;mallomonas sp;24996.3636363636;8.55332355636364;13.1737355869414;28
20/04/2021;1;SB;NW;phyto;cryptophyceae;NA;cryptomonas sp;14283.6363636364;2.83375918545455;13.1737355869414;28
20/04/2021;1;SB;NW;phyto;cyanophyceae;NA;chroococcus sp;503498.181818182;26.4035017890909;13.1737355869414;28
20/04/2021;1;SB;NW;phyto;cyanophyceae;NA;oscillatoria sp (col);71418.1818181818;0.674901818181818;13.1737355869414;28
20/04/2021;1;SB;NW;phyto;cyanophyceae;NA;synechococcus sp;25450166.6666667;230.986858333333;13.1737355869414;28
20/04/2021;1;SB;NW;phyto;dinophyceae;NA;peridinium sp;114269.090909091;31.5605944145455;13.1737355869414;28
20/04/2021;1;SB;NW;phyto;euglenophyceae;NA;euglena sp;7141.81818181818;1.88702548363636;13.1737355869414;28
20/04/2021;10;SB;W;phyto;bacillariophyceae;NA;achnanthes sp;28567.2727272727;0.440650181818182;16.1749967585089;28
20/04/2021;10;SB;W;phyto;bacillariophyceae;NA;nitzschia sp;3570.90909090909;9.96236500363636;16.1749967585089;28
20/04/2021;10;SB;W;phyto;chlorophyceae;NA;chlorella sp;1335520;3.67268;16.1749967585089;28
20/04/2021;10;SB;W;phyto;chlorophyceae;NA;filamentous algae (col);710610.909090909;18.2937672727273;16.1749967585089;28
20/04/2021;10;SB;W;phyto;chlorophyceae;NA;oocystis sp;374945.454545455;7.25125940363636;16.1749967585089;28
20/04/2021;10;SB;W;phyto;chlorophyceae;NA;tetraspora sp;42850.9090909091;0.155738058181818;16.1749967585089;28
20/04/2021;10;SB;W;phyto;chromophyceae;NA;brown algae;3570.90909090909;0.175331636363636;16.1749967585089;28
20/04/2021;10;SB;W;phyto;chrysophyceae;NA;mallomonas sp;32138.1818181818;10.7602596436364;16.1749967585089;28
20/04/2021;10;SB;W;phyto;cryptophyceae;NA;cryptomonas sp;7141.81818181818;0.252820363636364;16.1749967585089;28
20/04/2021;10;SB;W;phyto;cyanophyceae;NA;chroococcus sp;60705.4545454545;3.48081505454545;16.1749967585089;28
20/04/2021;10;SB;W;phyto;cyanophyceae;NA;limnothrix sp (col);492785.454545455;1.18268509090909;16.1749967585089;28
20/04/2021;10;SB;W;phyto;cyanophyceae;NA;pseudoanabaena sp (col);28567.2727272727;0.0494213818181818;16.1749967585089;28
20/04/2021;10;SB;W;phyto;cyanophyceae;NA;synechococcus sp;40507500;548.748965;16.1749967585089;28
20/04/2021;10;SB;W;phyto;dinophyceae;NA;peridinium sp;582058.181818182;162.920184785455;16.1749967585089;28
20/04/2021;10;SB;W;phyto;euglenophyceae;NA;euglena sp;7141.81818181818;0.831589738181818;16.1749967585089;28
20/04/2021;10;SB;W;phyto;zygnematophyceae;NA;actinotaenium subglobosum;3570.90909090909;0.094272;16.1749967585089;28
20/04/2021;10;SB;W;phyto;zygnematophyceae;NA;cosmarium sp;17854.5454545455;3.88854859636364;16.1749967585089;28
20/04/2021;11;LB;W;phyto;bacillariophyceae;NA;achnanthes sp;53563.6363636364;0.860589090909091;16.859913405881;28
20/04/2021;11;LB;W;phyto;bacillariophyceae;NA;fragilaria sp;3570.90909090909;0.0303170181818182;16.859913405881;28
20/04/2021;11;LB;W;phyto;chlorophyceae;NA;chlorella sp;932007.272727273;2.56302;16.859913405881;28
20/04/2021;11;LB;W;phyto;chlorophyceae;NA;filamentous algae (col);28567.2727272727;0.982714181818182;16.859913405881;28
20/04/2021;11;LB;W;phyto;chlorophyceae;NA;oocystis sp;414225.454545455;13.7287635127273;16.859913405881;28
20/04/2021;11;LB;W;phyto;chlorophyceae;NA;tetraspora sp;49992.7272727273;0.13748;16.859913405881;28
20/04/2021;11;LB;W;phyto;chromophyceae;NA;brown algae;10712.7272727273;0.0539207272727273;16.859913405881;28
20/04/2021;11;LB;W;phyto;chrysophyceae;NA;mallomonas sp;200;0.203451;16.859913405881;28
20/04/2021;11;LB;W;phyto;cryptophyceae;NA;cryptomonas sp;667760;29.5096356363636;16.859913405881;28
20/04/2021;11;LB;W;phyto;cyanophyceae;NA;chroococcus sp;35709.0909090909;0.484108145454546;16.859913405881;28
20/04/2021;11;LB;W;phyto;cyanophyceae;NA;microcystis sp (col);111869440;1610.919936;16.859913405881;28
20/04/2021;11;LB;W;phyto;cyanophyceae;NA;oscillatoria sp (col);110698.181818182;0.9148312;16.859913405881;28
