date;date_c;mesocosm_ID;fish;warming;binMid;binMin;binMax;biomass.L;binWidth;biomass.L.n;log10binMid;log10Biom;log10BiomNorm;tmean15;log10binMid.scaled
20/04/2021;28;20;LB;NW;0.00451023094857409;4.62559987338378e-05;0.00897420589841433;81.9463180872727;0.00892794989968049;9178.62656131229;-2.34580121929203;1.91352944515115;3.96277770064919;13.1383028478815;-2.28782796704626
20/04/2021;28;20;LB;NW;0.87503766624533;0.00897420589841433;1.74110112659224;1099.2685941816;1.73212692069383;634.635130398686;-0.0579732522457746;3.0411038204661;2.8025241089179;13.1383028478815;0
20/04/2021;28;20;LB;NW;169.767563142226;1.74110112659224;337.794025157861;2123.26003103327;336.052924031269;6.31823108563611;2.22985471480048;3.32700318452278;0.80059550592831;13.1383028478815;2.28782796704625
20/04/2021;28;20;LB;NW;32936.8970125789;337.794025157861;65536;1255.13644391497;65198.2059748421;0.0192510886633795;4.51768268184674;3.09869093985561;-1.71554470578512;13.1383028478815;4.57565593409251
20/04/2021;28;21;NF;NW;2.32472086564697e-05;2.38418579101562e-07;4.62559987338378e-05;842.83132542303;4.60175801547362e-05;18315420.3804062;-4.63362918633829;2.92574066861326;7.26281689115757;13.3697175272054;-4.57565593409251
20/04/2021;28;21;NF;NW;0.00451023094857409;4.62559987338378e-05;0.00897420589841433;56.6346597709091;0.00892794989968049;6343.52347485013;-2.34580121929203;1.75308229585816;3.80233055135621;13.3697175272054;-2.28782796704626
20/04/2021;28;21;NF;NW;0.87503766624533;0.00897420589841433;1.74110112659224;1282.112110272;1.73212692069383;740.195244906438;-0.0579732522457746;3.10792600236198;2.86934629081377;13.3697175272054;0
20/04/2021;28;21;NF;NW;169.767563142226;1.74110112659224;337.794025157861;2401.39380897132;336.052924031269;7.14587982203625;2.22985471480048;3.38046338664542;0.854055708050946;13.3697175272054;2.28782796704625
20/04/2021;28;21;NF;NW;32936.8970125789;337.794025157861;65536;1140.72359767071;65198.2059748421;0.0174962421222276;4.51768268184674;3.05718042570802;-1.75705521993271;13.3697175272054;4.57565593409251
20/04/2021;28;22;LB;W;2.32472086564697e-05;2.38418579101562e-07;4.62559987338378e-05;1245.5592537697;4.60175801547362e-05;27067030.6778724;-4.63362918633829;3.09536439262973;7.43244061517404;16.5810886779347;-4.57565593409251
20/04/2021;28;22;LB;W;0.00451023094857409;4.62559987338378e-05;0.00897420589841433;111.489991629091;0.00892794989968049;12487.748350053;-2.34580121929203;2.04723588285192;4.09648413834996;16.5810886779347;-2.28782796704626
20/04/2021;28;22;LB;W;169.767563142226;1.74110112659224;337.794025157861;534.202674283432;336.052924031269;1.58963852441804;2.22985471480048;2.72770605782169;0.201298379227221;16.5810886779347;2.28782796704625
20/04/2021;28;22;LB;W;32936.8970125789;337.794025157861;65536;203.059609283668;65198.2059748421;0.00311449688296672;4.51768268184674;2.30762354620294;-2.50661209943779;16.5810886779347;4.57565593409251
20/04/2021;28;23;SB;NW;2.32472086564697e-05;2.38418579101562e-07;4.62559987338378e-05;222.789562745455;4.60175801547362e-05;4841401.09054658;-4.63362918633829;2.34789484113261;6.68497106367691;13.1789002083816;-4.57565593409251
